abm_id,customer_id,amount_cad,debit_credit,cash_indicator,country,province,city,transaction_date,transaction_time,trans_id,customer_id_1,country_1,province_1,city_1,industry_code,employee_count,sales,established_date,onboard_date,industry_code_1,industry
ABM00000000000017480,SYNCID0000013936,412.55,debit,true,,,,2022-11-01,16:30:52,ABM00000000000017480,SYNCID0000013936,CA,ON,CORNWALL,9726,1.0,,2011-10-19,2011-12-06,9726,Carpet Cleaning
ABM00000000000013608,SYNCID0000010813,107.61,debit,true,,,,2022-11-01,19:29:26,ABM00000000000013608,SYNCID0000010813,CA,QC,,5961,,,2019-06-24,2023-04-01,5961,"Jewellery and Watches, Wholesale"
ABM00000000000013916,SYNCID0000011109,417.15,debit,true,,,,2022-11-01,16:22:17,ABM00000000000013916,SYNCID0000011109,CA,SK,SASKATOON,9693,1.0,0.0,2020-12-08,2020-12-28,9693,"Dance Halls, Studios and Schools"
ABM00000000000012410,SYNCID0000009741,107.6,debit,true,,,,2022-11-01,19:51:35,ABM00000000000012410,SYNCID0000009741,CA,MB,WINNIPEG,4021,1.0,134636.0,2020-05-26,2020-06-03,4021,Manufacturing and Light Industrial Building
ABM00000000000016361,SYNCID0000013129,88.88,debit,true,,,,2022-11-01,13:23:23,ABM00000000000016361,SYNCID0000013129,CA,,other,4278,1.0,175392.0,2004-10-11,,4278,Resilient Flooring and Carpet Work
ABM00000000000012067,SYNCID0000009460,355.43,debit,true,,,,2022-11-01,11:26:26,ABM00000000000012067,SYNCID0000009460,CA,ON,AYLMER,9931,0.0,0.0,,,9931,Photographers
ABM00000000000009658,SYNCID0000007263,103.38,debit,true,,,,2022-11-01,18:41:28,ABM00000000000009658,SYNCID0000007263,CA,ON,MISSISSAUGA,9961,0.0,46119.0,2008-06-12,,9961,Ticket and Travel Agencies
ABM00000000000013403,SYNCID0000010597,208.12,debit,true,,,,2022-11-01,10:41:26,ABM00000000000013403,SYNCID0000010597,CA,,other,3999,,110886.0,2002-02-18,,3999,Other Manufactured Products Industries n.e.c.
ABM00000000000016856,SYNCID0000013492,532.85,debit,true,,,,2022-11-01,02:01:39,ABM00000000000016856,SYNCID0000013492,CA,AB,LETHBRIDGE,4272,6.0,0.0,2023-04-27,2023-09-17,4272,Drywall Work
ABM00000000000021527,SYNCID0000016906,319.04,debit,true,,,,2022-11-01,11:44:27,ABM00000000000021527,SYNCID0000016906,CA,AB,CALGARY,9693,0.0,0.0,2016-04-17,2015-10-04,9693,"Dance Halls, Studios and Schools"
ABM00000000000012905,SYNCID0000010180,110.45,debit,true,,,,2022-11-01,19:27:29,ABM00000000000012905,SYNCID0000010180,CA,ON,ST CATHARINES,8665,,414479.0,2007-05-21,1999-08-30,8665,Offices of Physiotherapists-Occupational Therapists
ABM00000000000012543,SYNCID0000009859,1892.36,credit,true,CA,NS,TRURO,2022-11-01,20:02:39,ABM00000000000012543,SYNCID0000009859,CA,,other,9614,1.0,,1993-09-24,1993-11-16,9614,Sound Recording Services
ABM00000000000002251,SYNCID0000001703,2077.63,credit,true,CA,NS,TRURO,2022-11-01,20:05:21,ABM00000000000002251,SYNCID0000001703,CA,ON,WHITBY,4931,2.0,116237.0,2020-07-28,,4931,Water Systems Industry
ABM00000000000005280,SYNCID0000004020,1045.26,debit,true,CA,,other,2022-11-01,14:12:01,ABM00000000000005280,SYNCID0000004020,CA,ON,MISSISSAUGA,9611,0.0,0.0,2015-12-15,2017-02-14,9611,Motion Picture and Video Production
ABM00000000000018508,SYNCID0000014733,6276.31,credit,false,CA,,other,2022-11-01,18:00:28,ABM00000000000018508,SYNCID0000014733,CA,,other,2499,2.0,199972.0,,,2499,Other Clothing and Apparel Industries n.e.c.
ABM00000000000003055,SYNCID0000002394,1079.16,debit,true,CA,,other,2022-11-01,10:36:10,ABM00000000000003055,SYNCID0000002394,CA,,other,8668,7.0,796936.0,2004-12-02,2004-12-18,8668,Offices of Denturists
ABM00000000000005789,SYNCID0000004450,5986.68,credit,false,CA,,other,2022-11-01,13:46:10,ABM00000000000005789,SYNCID0000004450,CA,,other,4224,4.0,,2005-01-16,,4224,Concrete Pouring and Finishing
ABM00000000000020195,SYNCID0000015899,325.01,debit,true,CA,,other,2022-11-01,15:55:23,ABM00000000000020195,SYNCID0000015899,CA,AB,LEDUC,6399,1.0,94581.0,2022-11-03,,6399,Other Motor Vehicle Services n.e.c.
ABM00000000000002836,SYNCID0000002115,2063.94,credit,false,CA,,other,2022-11-01,17:00:46,ABM00000000000002836,SYNCID0000002115,CA,ON,COLLINGWOOD,8649,1.0,222799.0,2011-09-17,,8649,Other Non-Institutional Social Services
ABM00000000000007159,SYNCID0000005402,111.33,debit,true,CA,,other,2022-11-01,17:32:13,ABM00000000000007159,SYNCID0000005402,CA,SK,SASKATOON,9631,1.0,180065.0,,2013-11-06,9631,Entertainment Production Companies and Artists
ABM00000000000001587,SYNCID0000001176,431.28,credit,false,CA,,other,2022-11-01,10:57:43,ABM00000000000001587,SYNCID0000001176,CA,QC,LONGUEUIL,4119,2.0,0.0,2022-09-02,2022-10-10,4119,Other Industrial Construction
ABM00000000000002258,SYNCID0000001703,1027.59,debit,true,other,,other,2022-11-01,14:49:52,ABM00000000000002258,SYNCID0000001703,CA,ON,WHITBY,4931,2.0,116237.0,2020-07-28,,4931,Water Systems Industry
ABM00000000000015266,SYNCID0000012316,1042.75,credit,false,other,,other,2022-11-01,08:01:03,ABM00000000000015266,SYNCID0000012316,CA,MB,WINNIPEG,8666,10.0,,2010-02-24,2010-05-16,8666,Offices of Optometrists
ABM00000000000020192,SYNCID0000015899,1359.19,credit,false,other,,other,2022-11-01,09:20:58,ABM00000000000020192,SYNCID0000015899,CA,AB,LEDUC,6399,1.0,94581.0,2022-11-03,,6399,Other Motor Vehicle Services n.e.c.
ABM00000000000005117,SYNCID0000003856,1676.71,credit,true,CA,,other,2022-11-01,09:51:23,ABM00000000000005117,SYNCID0000003856,CA,NL,MOUNT PEARL,6399,3.0,563920.0,1984-07-10,1991-10-16,6399,Other Motor Vehicle Services n.e.c.
ABM00000000000000667,SYNCID0000000469,619.66,credit,true,CA,,other,2022-11-01,21:06:03,ABM00000000000000667,SYNCID0000000469,CA,,other,3244,1.0,57866.0,2018-01-08,2018-09-20,3244,Mobile Home Industry
ABM00000000000011281,SYNCID0000008773,1054.5,debit,true,CA,,other,2022-11-01,10:27:36,ABM00000000000011281,SYNCID0000008773,CA,NL,BAY ROBERTS,8665,,125100.0,2001-05-19,2001-07-19,8665,Offices of Physiotherapists-Occupational Therapists
ABM00000000000021632,SYNCID0000017015,525.07,debit,true,CA,,other,2022-11-01,20:38:03,ABM00000000000021632,SYNCID0000017015,CA,AB,CALGARY,8621,1.0,20544.0,2021-07-06,2021-10-21,8621,Homes for Personal and Nursing Care
ABM00000000000020674,SYNCID0000016234,4021.81,credit,false,CA,,other,2022-11-01,15:49:11,ABM00000000000020674,SYNCID0000016234,CA,,other,4023,,0.0,2022-09-01,2022-10-21,4023,Institutional Building
ABM00000000000000666,SYNCID0000000469,648.53,credit,false,other,,other,2022-11-01,15:45:51,ABM00000000000000666,SYNCID0000000469,CA,,other,3244,1.0,57866.0,2018-01-08,2018-09-20,3244,Mobile Home Industry
ABM00000000000019410,SYNCID0000015280,961.31,credit,true,CA,,other,2022-11-01,17:04:42,ABM00000000000019410,SYNCID0000015280,CA,,other,3029,1.0,16350.0,2002-12-05,,3029,Other Fabricated Structural Metal Products Industries
ABM00000000000018267,SYNCID0000014578,2529.46,credit,false,other,,other,2022-11-01,21:16:08,ABM00000000000018267,SYNCID0000014578,CA,,other,4565,1.0,32796.0,2000-05-31,2000-08-14,4565,Forest Products Trucking Industry
ABM00000000000012486,SYNCID0000009800,103.27,credit,true,other,,other,2022-11-01,14:37:09,ABM00000000000012486,SYNCID0000009800,CA,ON,BURLINGTON,8665,3.0,,2005-05-04,2005-05-20,8665,Offices of Physiotherapists-Occupational Therapists
